ACCIDENT_NO,Date,SEVERITY,SPEED_ZONE,VehicleType,VEHICLE_MAKE
12000000555,1/01/2000,2,60,Car,B M W 
12000002177,1/01/2000,3,70,Car,HOLDEN
12000002253,1/01/2000,3,60,Car,FORD  
12000002264,1/01/2000,3,60,Car,TOYOTA
12000002490,1/01/2000,2,80,Car,Unknown
12000002540,1/01/2000,1,60,Car,TOYOTA
12000002642,1/01/2000,2,60,Car,Unknown
12000002917,1/01/2000,2,60,Car,FORD  
12000002925,1/01/2000,3,60,Car,FORD  
12000005417,1/01/2000,3,60,Car,HOLDEN
22000001614,1/01/2000,3,60,Car,DAEWOO
22000001774,1/01/2000,2,100,Truck,MAZDA 
22000002062,1/01/2000,3,50,Other Vehicle,FORD  
22000002244,1/01/2000,3,60,Car,HYNDAI
22000002478,1/01/2000,3,100,Car,Unknown
22000002525,1/01/2000,3,60,Motor Cycle,KAWASA
22000003078,1/01/2000,3,60,Car,MITSUB
22000003876,1/01/2000,3,100,Truck,FORD  
22000006737,1/01/2000,3,60,Car,FORD  
22001001961,1/01/2000,3,60,Car,FORD  
32000001167,1/01/2000,1,60,Car,M G   
32000002211,1/01/2000,2,100,Car,TOYOTA
32000002671,1/01/2000,2,60,Car,FORD  
32000002687,1/01/2000,2,60,Car,TOYOTA
32000010059,1/01/2000,3,60,Bicycle,Unknown
42000002296,1/01/2000,2,60,Car,Unknown
42000002363,1/01/2000,3,70,Other Vehicle,VOLVO 
42000002694,1/01/2000,2,60,Bicycle,Unknown
52000000868,1/01/2000,3,60,Car,FORD  
52000005576,1/01/2000,3,100,Bicycle,Unknown
52000017906,1/01/2000,3,100,Car,Unknown
52000027299,1/01/2000,2,100,Other Vehicle,HOLDEN
12000000559,1/02/2000,2,60,Car,AUDI  
12000002511,1/02/2000,3,60,Car,HOLDEN
12000002721,1/02/2000,3,60,Car,TOYOTA
12000006716,1/02/2000,3,60,Car,FORD  
22000001832,1/02/2000,2,100,Car,TOYOTA
22000001835,1/02/2000,3,60,Truck,CHRYS 
22000001915,1/02/2000,3,100,Truck,TOYOTA
22000002348,1/02/2000,3,60,Truck,FORD  
22000003088,1/02/2000,2,100,Car,MITSUB
22000031850,1/02/2000,3,80,Truck,SCANIA
32000002271,1/02/2000,3,100,Car,FORD  
32000002975,1/02/2000,2,100,Car,MAZDA 
32000003038,1/02/2000,3,70,Car,HOLDEN
32000003289,1/02/2000,2,100,Car,MITSUB
42000002190,1/02/2000,3,60,Truck,HOLDEN
42000002297,1/02/2000,2,60,Bicycle,Unknown
42000002427,1/02/2000,3,60,Car,Unknown
42000002674,1/02/2000,1,100,Car,FORD  
42000002697,1/02/2000,2,60,Car,MAZDA 
42000002758,1/02/2000,3,60,Truck,HINO  
42000002765,1/02/2000,3,80,Car,Unknown
42000002811,1/02/2000,3,100,Car,TOYOTA
42000003004,1/02/2000,3,100,Car,HOLDEN
42000003557,1/02/2000,2,60,Car,MITSUB
42000003952,1/02/2000,3,100,Bicycle,Unknown
42000003996,1/02/2000,3,80,Car,HYNDAI
42000008818,1/02/2000,2,100,Car,FORD  
52000000003,1/02/2000,2,100,Truck,HOLDEN
52000000014,1/02/2000,3,100,Car,HONDA 
52000000195,1/02/2000,3,100,Bicycle,Unknown
52000001021,1/02/2000,2,80,Car,TOYOTA
52000002429,1/02/2000,2,100,Car,HOLDEN
12000000586,1/03/2000,3,70,Car,HOLDEN
12000002633,1/03/2000,3,60,Car,FORD  
